case_id,amount_due,days_overdue,monthly_income,monthly_expense,payment_history_score,missed_payments,previous_recovery_rate,contact_success_rate,last_payment_days_ago,account_age_days,reminders_received,digital_engagement,hardship_flag,recovered,recovery_days
1,4435.39,88,69233.82,46358.12,95.29,1,0.996,0.498,36,889,6,0.75,0,1,15.0
2,2668.81,125,27484.89,17359.01,31.43,5,0.76,0.764,57,2368,6,0.21,0,0,
3,5004.79,26,82619.77,49450.43,96.13,5,0.098,0.856,67,857,4,0.123,0,0,
4,10081.16,139,82707.79,49722.27,71.61,3,0.161,0.327,82,394,4,0.017,0,0,
5,2471.74,20,40652.4,37905.0,77.61,3,0.965,0.021,169,616,1,0.822,0,0,
6,2471.77,44,24010.45,12438.53,42.69,1,0.522,0.389,116,258,1,0.814,1,1,6.0
7,10544.61,18,126172.18,80316.81,45.75,3,0.77,0.816,19,727,5,0.536,0,1,13.0
8,5507.95,162,86028.67,36323.51,26.35,3,0.249,0.548,56,1973,1,0.097,1,0,
9,2047.59,100,39943.81,25289.14,70.49,2,0.296,0.988,118,782,4,0.939,1,0,
10,4601.09,4,18377.61,10142.13,36.18,4,0.623,0.699,161,1531,3,0.86,1,1,25.0
11,2057.54,90,49526.04,31729.86,59.09,1,0.512,0.287,49,1408,1,0.666,0,0,
12,2053.74,142,27039.16,16491.53,66.61,3,0.706,0.288,106,1101,6,0.307,0,0,
13,3617.61,90,56218.57,49712.27,45.36,4,0.708,0.702,167,1608,2,0.814,0,0,
14,645.08,141,40731.27,29115.0,29.44,4,0.447,0.575,52,1373,4,0.934,0,1,2.0
15,749.99,90,16349.96,9727.75,96.56,1,0.014,0.883,101,577,5,0.45,1,1,18.0
16,1901.07,41,20131.05,11787.83,68.7,1,0.962,0.465,162,1584,4,0.071,0,1,15.0
17,1325.75,91,24807.75,9475.88,24.04,0,0.465,0.008,66,1899,7,0.945,0,0,
18,3832.98,22,82491.41,40357.52,22.26,2,0.152,0.289,90,1211,3,0.099,0,0,
19,1441.7,138,26239.82,23164.21,75.64,0,0.557,0.015,86,2416,6,0.243,0,0,
20,963.1,50,11650.73,6669.74,80.03,5,0.941,0.583,37,967,2,0.16,0,0,
21,9628.85,100,32833.49,30366.19,85.76,0,0.763,0.874,23,981,6,0.204,0,1,6.0
22,2488.36,16,31866.9,14287.36,34.9,1,0.941,0.207,178,1208,5,0.572,1,0,
23,3146.43,139,80410.94,35069.04,53.51,2,0.665,0.886,172,1889,5,0.864,0,1,10.0
24,953.56,103,77441.84,67821.8,44.41,3,0.082,0.089,31,517,7,0.98,0,0,
25,1928.49,67,18875.48,12472.31,54.66,5,0.641,0.375,58,1725,4,0.735,1,0,
26,3257.57,20,44210.14,38092.14,25.59,2,0.859,0.667,157,2058,5,0.218,0,0,
27,1187.02,33,53953.35,28855.51,65.66,2,0.648,0.102,117,558,2,0.216,0,0,
28,4026.12,138,34180.96,16861.59,46.72,4,0.954,0.85,38,2421,1,0.951,0,0,
29,1843.63,55,39657.66,28870.08,74.41,1,0.876,0.717,171,2475,5,0.969,0,0,
30,2360.54,160,63120.53,34038.38,36.34,4,0.445,0.642,93,1669,7,0.868,0,0,
31,1842.05,45,42039.71,15568.31,65.44,2,0.845,0.216,45,486,3,0.537,1,1,24.0
